Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Flamengo,19,17,2,0,56,18,+38,53,2.79,48.9,17.6,+31.2,+1.64,19,11,4,4,30,19,+11,37,1.95,32.7,25.1,+7.6,+0.40
2,Santos,19,14,4,1,44,15,+29,46,2.42,39.7,16.7,+23.0,+1.21,19,8,4,7,16,18,-2,28,1.47,22.5,23.1,-0.7,-0.04
3,Palmeiras,19,13,4,2,40,13,+27,43,2.26,38.4,16.9,+21.4,+1.13,19,8,7,4,21,19,+2,31,1.63,21.4,16.3,+5.1,+0.27
4,Grêmio,19,12,3,4,38,18,+20,39,2.05,34.7,19.7,+15.0,+0.79,19,7,5,7,26,21,+5,26,1.37,22.4,22.8,-0.4,-0.02
5,Atl Paranaense,19,12,3,4,26,11,+15,39,2.05,38.7,15.6,+23.1,+1.22,19,6,7,6,25,21,+4,25,1.32,25.3,34.2,-8.9,-0.47
6,São Paulo,19,10,6,3,23,12,+11,36,1.89,29.4,15.3,+14.0,+0.74,19,7,6,6,16,18,-2,27,1.42,14.8,26.9,-12.1,-0.64
7,Internacional,19,11,6,2,28,15,+13,39,2.05,34.1,20.1,+14.0,+0.74,19,5,3,11,16,24,-8,18,0.95,18.9,27.4,-8.5,-0.45
8,Corinthians,19,10,7,2,25,13,+12,37,1.95,25.9,19.0,+7.0,+0.37,19,4,7,8,17,21,-4,19,1.00,16.4,23.9,-7.4,-0.39
9,Fortaleza,19,11,2,6,26,17,+9,35,1.84,25.3,21.5,+3.8,+0.20,19,4,6,9,24,32,-8,18,0.95,24.7,40.6,-15.9,-0.84
10,Goiás,19,11,3,5,31,23,+8,36,1.89,29.8,23.1,+6.7,+0.35,19,4,4,11,15,41,-26,16,0.84,17.4,40.3,-22.9,-1.20
11,Bahia,19,7,8,4,24,18,+6,29,1.53,28.4,16.5,+11.8,+0.62,19,5,5,9,20,25,-5,20,1.05,23.4,30.9,-7.5,-0.40
12,Vasco da Gama,19,7,6,6,20,22,-2,27,1.42,30.1,22.5,+7.6,+0.40,19,5,7,7,19,23,-4,22,1.16,26.6,31.3,-4.7,-0.25
13,Atlético Mineiro,19,10,2,7,28,23,+5,32,1.68,39.0,19.2,+19.8,+1.04,19,3,7,9,17,26,-9,16,0.84,20.5,31.2,-10.7,-0.56
14,Fluminense,19,6,7,6,18,15,+3,25,1.32,32.2,20.4,+11.8,+0.62,19,6,3,10,20,31,-11,21,1.11,22.3,32.5,-10.2,-0.54
15,Botafogo (RJ),19,9,2,8,19,17,+2,29,1.53,22.6,26.9,-4.3,-0.23,19,4,2,13,12,28,-16,14,0.74,15.4,36.0,-20.6,-1.08
16,Ceará,19,8,6,5,23,14,+9,30,1.58,26.9,21.0,+5.9,+0.31,19,2,3,14,13,27,-14,9,0.47,21.8,32.4,-10.6,-0.56
17,Cruzeiro,19,5,8,6,13,17,-4,23,1.21,25.4,21.4,+3.9,+0.21,19,2,7,10,14,29,-15,13,0.68,21.2,29.9,-8.8,-0.46
18,CSA,19,6,5,8,17,24,-7,23,1.21,22.1,27.3,-5.3,-0.28,19,2,3,14,7,34,-27,9,0.47,12.5,36.8,-24.3,-1.28
19,Chapecoense,19,4,5,10,16,22,-6,17,0.89,25.5,27.8,-2.2,-0.12,19,3,6,10,15,30,-15,15,0.79,16.1,39.9,-23.8,-1.25
20,Avaí,19,1,9,9,10,24,-14,12,0.63,21.6,20.9,+0.7,+0.04,19,2,2,15,8,38,-30,8,0.42,13.2,37.0,-23.8,-1.25
1,Flamengo,19,11,4,4,35,23,+12,37,1.95,44.9,17.6,+27.3,+1.44,19,10,4,5,33,25,+8,34,1.79,33.4,17.6,+15.8,+0.83
2,Internacional,19,12,5,2,34,17,+17,41,2.16,29.4,18.7,+10.7,+0.56,19,8,5,6,27,18,+9,29,1.53,25.9,17.5,+8.4,+0.44
3,Atlético Mineiro,19,14,4,1,41,13,+28,46,2.42,37.1,18.1,+19.0,+1.00,19,6,4,9,23,32,-9,22,1.16,31.4,27.7,+3.8,+0.20
4,São Paulo,19,10,7,2,29,16,+13,37,1.95,27.8,17.7,+10.0,+0.53,19,8,5,6,30,25,+5,29,1.53,26.5,21.8,+4.8,+0.25
5,Fluminense,19,11,5,3,31,14,+17,38,2.00,24.0,17.0,+7.1,+0.37,19,7,5,7,24,28,-4,26,1.37,17.3,27.9,-10.6,-0.56
6,Grêmio,19,10,6,3,34,23,+11,36,1.89,28.0,18.2,+9.8,+0.52,19,4,11,4,19,17,+2,23,1.21,26.3,23.6,+2.7,+0.14
7,Palmeiras,19,9,8,2,33,16,+17,35,1.84,30.2,19.3,+10.9,+0.57,19,6,5,8,18,21,-3,23,1.21,22.4,19.8,+2.6,+0.14
8,Santos,19,9,7,3,35,23,+12,34,1.79,30.0,25.1,+4.8,+0.25,19,5,5,9,17,28,-11,20,1.05,21.0,31.5,-10.6,-0.56
9,Atl Paranaense,19,9,5,5,20,13,+7,32,1.68,24.4,18.8,+5.6,+0.29,19,6,3,10,18,23,-5,21,1.11,21.2,28.3,-7.1,-0.37
10,Bragantino,19,10,5,4,34,19,+15,35,1.84,28.6,18.6,+10.0,+0.53,19,3,9,7,16,21,-5,18,0.95,24.7,24.7,0.0,0.00
11,Ceará,19,7,5,7,22,25,-3,26,1.37,28.3,23.7,+4.6,+0.24,19,7,5,7,32,26,+6,26,1.37,23.5,28.8,-5.4,-0.28
12,Corinthians,19,8,7,4,29,23,+6,31,1.63,26.3,24.9,+1.4,+0.07,19,5,5,9,16,22,-6,20,1.05,17.8,29.5,-11.7,-0.61
13,Atl Goianiense,19,6,9,4,24,21,+3,27,1.42,24.4,29.3,-5.0,-0.26,19,6,5,8,16,24,-8,23,1.21,19.9,25.1,-5.2,-0.27
14,Bahia,19,9,2,8,27,26,+1,29,1.53,29.3,28.9,+0.5,+0.03,19,3,6,10,21,33,-12,15,0.79,26.5,28.9,-2.4,-0.12
15,Sport Recife,19,8,2,9,19,23,-4,26,1.37,20.5,26.7,-6.2,-0.32,19,4,4,11,12,27,-15,16,0.84,14.2,31.3,-17.1,-0.90
16,Fortaleza,19,8,6,5,20,15,+5,30,1.58,23.8,21.0,+2.8,+0.15,19,2,5,12,14,29,-15,11,0.58,19.4,26.8,-7.4,-0.39
17,Vasco da Gama,19,7,5,7,21,21,0,26,1.37,25.7,24.9,+0.9,+0.04,19,3,6,10,16,35,-19,15,0.79,15.4,31.6,-16.3,-0.86
18,Goiás,19,6,5,8,19,28,-9,23,1.21,17.9,26.3,-8.4,-0.44,19,3,5,11,22,35,-13,14,0.74,21.6,34.8,-13.2,-0.70
19,Coritiba,19,4,6,9,13,19,-6,18,0.95,18.4,25.2,-6.8,-0.36,19,3,4,12,18,35,-17,13,0.68,19.5,36.3,-16.7,-0.88
20,Botafogo (RJ),19,3,5,11,16,30,-14,14,0.74,30.0,29.2,+0.8,+0.04,19,2,7,10,16,32,-16,13,0.68,21.3,35.6,-14.3,-0.75
