Ano,Pos,Clube,Jf,Vf,Ef,Df,GPf,GCf,SDf,Ptsf,Ptsf/Jf
2014,1,Cruzeiro,19,9,6,4,24,21,3,33,1.74
2014,2,São Paulo,19,9,4,6,27,24,3,31,1.63
2014,3,Internacional,19,6,6,7,16,25,-9,24,1.26
2014,4,Corinthians,19,7,6,6,17,16,1,27,1.42
2014,5,Atlético Mineiro,19,5,6,8,23,26,-3,21,1.11
2014,6,Fluminense,19,6,4,9,21,23,-2,22,1.16
2014,7,Grêmio,19,5,6,8,12,13,-1,21,1.11
2014,8,Atl Paranaense,19,5,4,10,19,28,-9,19,1.0
2014,9,Santos,19,5,5,9,17,23,-6,20,1.05
2014,10,Flamengo,19,4,5,10,17,32,-15,17,0.89
2014,11,Sport Recife,19,4,4,11,13,30,-17,16,0.84
2014,12,Goiás,19,3,4,12,8,26,-18,13,0.68
2014,13,Figueirense,19,6,3,10,13,27,-14,21,1.11
2014,14,Coritiba,19,2,6,11,18,34,-16,12,0.63
2014,15,Chapecoense,19,3,3,13,15,33,-18,12,0.63
2014,16,Palmeiras,19,4,3,12,13,36,-23,15,0.79
2014,17,Vitória,19,4,3,12,14,32,-18,15,0.79
2014,18,Bahia,19,3,6,10,17,26,-9,15,0.79
2014,19,Botafogo (RJ),19,1,2,16,7,29,-22,5,0.26
2014,20,Criciúma,19,0,6,13,9,36,-27,6,0.32
2015,1,Corinthians,19,8,7,4,30,20,10,31,1.63
2015,2,Atlético Mineiro,19,8,4,7,29,27,2,28,1.47
2015,3,Grêmio,19,6,5,8,17,17,0,23,1.21
2015,4,São Paulo,19,6,2,11,18,31,-13,20,1.05
2015,5,Internacional,19,3,6,10,11,29,-18,15,0.79
2015,6,Sport Recife,19,2,9,8,20,29,-9,15,0.79
2015,7,Santos,19,1,7,11,12,26,-14,10,0.53
2015,8,Cruzeiro,19,5,4,10,16,24,-8,19,1.0
2015,9,Palmeiras,19,6,4,9,29,28,1,22,1.16
2015,10,Atl Paranaense,19,5,3,11,13,28,-15,18,0.95
2015,11,Ponte Preta,19,4,8,7,19,25,-6,20,1.05
2015,12,Flamengo,19,7,1,11,17,27,-10,22,1.16
2015,13,Fluminense,19,4,2,13,15,30,-15,14,0.74
2015,14,Chapecoense,19,3,6,10,11,25,-14,15,0.79
2015,15,Coritiba,19,5,3,11,16,28,-12,18,0.95
2015,16,Figueirense,19,4,4,11,18,33,-15,16,0.84
2015,17,Avaí,19,3,4,12,12,34,-22,13,0.68
2015,18,Vasco da Gama,19,5,5,9,15,31,-16,20,1.05
2015,19,Goiás,19,3,4,12,17,32,-15,13,0.68
2015,20,Joinville,19,1,3,15,7,31,-24,6,0.32
2016,1,Palmeiras,19,10,4,5,27,19,8,34,1.79
2016,2,Santos,19,7,3,9,23,24,-1,24,1.26
2016,3,Flamengo,19,8,6,5,21,19,2,30,1.58
2016,4,Atlético Mineiro,18,4,8,6,22,30,-8,20,1.11
2016,5,Botafogo (RJ),19,7,3,9,16,22,-6,24,1.26
2016,6,Atl Paranaense,19,2,3,14,11,26,-15,9,0.47
2016,7,Corinthians,19,5,3,11,21,31,-10,18,0.95
2016,8,Grêmio,19,3,7,9,19,33,-14,16,0.84
2016,9,Ponte Preta,19,2,6,11,15,34,-19,12,0.63
2016,10,São Paulo,19,5,5,9,15,23,-8,20,1.05
2016,11,Chapecoense,19,5,7,7,24,32,-8,22,1.16
2016,12,Cruzeiro,19,7,2,10,19,23,-4,23,1.21
2016,13,Fluminense,19,5,5,9,15,21,-6,20,1.05
2016,14,Sport Recife,19,3,3,13,16,33,-17,12,0.63
2016,15,Coritiba,19,2,6,11,12,25,-13,12,0.63
2016,16,Vitória,19,4,5,10,21,29,-8,17,0.89
2016,17,Internacional,19,2,5,12,14,26,-12,11,0.58
2016,18,Figueirense,19,1,4,14,9,34,-25,7,0.37
