Ano,Pos,Clube,Jc,Vc,Ec,Dc,GPc,GCc,SDc,Ptsc,Ptsc/Jc,Jf,Vf,Ef,Df,GPf,GCf,SDf,Ptsf,Ptsf/Jf,J,V,E,D,GP,GC,SD,Pts,Pts/J
2014,1,Cruzeiro,19,15,2,2,43,17,26,47,2.47,19,9,6,4,24,21,3,33,1.74,38,24,8,6,67,38,29,80,2.1
2014,2,São Paulo,19,11,6,2,32,16,16,39,2.05,19,9,4,6,27,24,3,31,1.63,38,20,10,8,59,40,19,70,1.84
2014,3,Internacional,19,15,0,4,37,16,21,45,2.37,19,6,6,7,16,25,-9,24,1.26,38,21,6,11,53,41,12,69,1.82
2014,4,Corinthians,19,12,6,1,32,15,17,42,2.21,19,7,6,6,17,16,1,27,1.42,38,19,12,7,49,31,18,69,1.82
2014,5,Atlético Mineiro,19,12,5,2,28,12,16,41,2.16,19,5,6,8,23,26,-3,21,1.11,38,17,11,10,51,38,13,62,1.64
2014,6,Fluminense,19,11,6,2,40,19,21,39,2.05,19,6,4,9,21,23,-2,22,1.16,38,17,10,11,61,42,19,61,1.6
2014,7,Grêmio,19,12,4,3,24,11,13,40,2.11,19,5,6,8,12,13,-1,21,1.11,38,17,10,11,36,24,12,61,1.61
2014,8,Atl Paranaense,19,10,5,4,24,14,10,35,1.84,19,5,4,10,19,28,-9,19,1.0,38,15,9,14,43,42,1,54,1.42
2014,9,Santos,19,10,3,6,25,12,13,33,1.74,19,5,5,9,17,23,-6,20,1.05,38,15,8,15,42,35,7,53,1.4
2014,10,Flamengo,19,10,5,4,29,15,14,35,1.84,19,4,5,10,17,32,-15,17,0.89,38,14,10,14,46,47,-1,52,1.36
2014,11,Sport Recife,19,10,6,3,23,16,7,36,1.89,19,4,4,11,13,30,-17,16,0.84,38,14,10,14,36,46,-10,52,1.36
2014,12,Goiás,19,10,4,5,30,14,16,34,1.79,19,3,4,12,8,26,-18,13,0.68,38,13,8,17,38,40,-2,47,1.24
2014,13,Figueirense,19,7,5,7,24,20,4,26,1.37,19,6,3,10,13,27,-14,21,1.11,38,13,8,17,37,47,-10,47,1.24
2014,14,Coritiba,19,10,5,4,24,11,13,35,1.84,19,2,6,11,18,34,-16,12,0.63,38,12,11,15,42,45,-3,47,1.24
2014,15,Chapecoense,19,8,7,4,24,11,13,31,1.63,19,3,3,13,15,33,-18,12,0.63,38,11,10,17,39,44,-5,43,1.13
2014,16,Palmeiras,19,7,4,8,21,23,-2,25,1.32,19,4,3,12,13,36,-23,15,0.79,38,11,7,20,34,59,-25,40,1.06
2014,17,Vitória,19,6,5,8,23,22,1,23,1.21,19,4,3,12,14,32,-18,15,0.79,38,10,8,20,37,54,-17,38,1.0
2014,18,Bahia,19,6,4,9,14,17,-3,22,1.16,19,3,6,10,17,26,-9,15,0.79,38,9,10,19,31,43,-12,37,0.98
2014,19,Botafogo (RJ),19,8,5,6,24,19,5,29,1.53,19,1,2,16,7,29,-22,5,0.26,38,9,7,22,31,48,-17,34,0.9
2014,20,Criciúma,19,7,5,7,19,20,-1,26,1.37,19,0,6,13,9,36,-27,6,0.32,38,7,11,20,28,56,-28,32,0.85
2015,1,Corinthians,19,16,2,1,41,11,30,50,2.63,19,8,7,4,30,20,10,31,1.63,38,24,9,5,71,31,40,81,2.13
2015,2,Atlético Mineiro,19,13,2,4,36,20,16,41,2.16,19,8,4,7,29,27,2,28,1.47,38,21,6,11,65,47,18,69,1.82
2015,3,Grêmio,19,14,3,2,35,15,20,45,2.37,19,6,5,8,17,17,0,23,1.21,38,20,8,10,52,32,20,68,1.79
