Ano,Pos,Clube,J,V,E,D,GP,GC,SD,Pts,Pts/J
2014,1,Cruzeiro,38,24,8,6,67,38,29,80,2.1
2014,2,São Paulo,38,20,10,8,59,40,19,70,1.84
2014,3,Internacional,38,21,6,11,53,41,12,69,1.82
2014,4,Corinthians,38,19,12,7,49,31,18,69,1.82
2014,5,Atlético Mineiro,38,17,11,10,51,38,13,62,1.64
2014,6,Fluminense,38,17,10,11,61,42,19,61,1.6
2014,7,Grêmio,38,17,10,11,36,24,12,61,1.61
2014,8,Atl Paranaense,38,15,9,14,43,42,1,54,1.42
2014,9,Santos,38,15,8,15,42,35,7,53,1.4
2014,10,Flamengo,38,14,10,14,46,47,-1,52,1.36
2014,11,Sport Recife,38,14,10,14,36,46,-10,52,1.36
2014,12,Goiás,38,13,8,17,38,40,-2,47,1.24
2014,13,Figueirense,38,13,8,17,37,47,-10,47,1.24
2014,14,Coritiba,38,12,11,15,42,45,-3,47,1.24
2014,15,Chapecoense,38,11,10,17,39,44,-5,43,1.13
2014,16,Palmeiras,38,11,7,20,34,59,-25,40,1.06
2014,17,Vitória,38,10,8,20,37,54,-17,38,1.0
2014,18,Bahia,38,9,10,19,31,43,-12,37,0.98
2014,19,Botafogo (RJ),38,9,7,22,31,48,-17,34,0.9
2014,20,Criciúma,38,7,11,20,28,56,-28,32,0.85
2015,1,Corinthians,38,24,9,5,71,31,40,81,2.13
2015,2,Atlético Mineiro,38,21,6,11,65,47,18,69,1.82
2015,3,Grêmio,38,20,8,10,52,32,20,68,1.79
2015,4,São Paulo,38,18,8,12,53,47,6,62,1.63
2015,5,Internacional,38,17,9,12,39,38,1,60,1.58
2015,6,Sport Recife,38,15,14,9,53,38,15,59,1.56
2015,7,Santos,38,16,10,12,59,41,18,58,1.53
2015,8,Cruzeiro,38,15,10,13,44,35,9,55,1.44
2015,9,Palmeiras,38,15,8,15,60,51,9,53,1.4
2015,10,Atl Paranaense,38,14,9,15,43,48,-5,51,1.34
2015,11,Ponte Preta,38,13,12,13,41,40,1,51,1.34
2015,12,Flamengo,38,15,4,19,45,53,-8,49,1.29
2015,13,Fluminense,38,14,5,19,40,49,-9,47,1.24
2015,14,Chapecoense,38,12,11,15,34,44,-10,47,1.23
2015,15,Coritiba,38,11,11,16,31,42,-11,44,1.16
2015,16,Figueirense,38,11,10,17,36,50,-14,43,1.13
2015,17,Avaí,38,11,9,18,38,60,-22,42,1.1
2015,18,Vasco da Gama,38,10,11,17,28,54,-26,41,1.08
2015,19,Goiás,38,10,8,20,39,49,-10,38,1.0
2015,20,Joinville,38,7,10,21,26,48,-22,31,0.82
2016,1,Palmeiras,38,24,8,6,62,32,30,80,2.1
2016,2,Santos,38,22,5,11,59,35,24,71,1.87
2016,3,Flamengo,38,20,11,7,52,35,17,71,1.87
2016,4,Atlético Mineiro,37,17,11,9,61,50,11,62,1.66
2016,5,Botafogo (RJ),38,17,8,13,43,39,4,59,1.55
2016,6,Atl Paranaense,38,17,6,15,38,32,6,57,1.5
2016,7,Corinthians,38,15,10,13,48,42,6,55,1.45
2016,8,Grêmio,38,14,11,13,41,44,-3,53,1.4
2016,9,Ponte Preta,38,15,8,15,48,52,-4,53,1.4
2016,10,São Paulo,38,14,10,14,44,36,8,52,1.36
2016,11,Chapecoense,37,13,13,11,49,53,-4,52,1.42
2016,12,Cruzeiro,38,14,9,15,48,49,-1,51,1.34
2016,13,Fluminense,38,13,11,14,45,45,0,50,1.32
2016,14,Sport Recife,38,13,8,17,49,55,-6,47,1.24
2016,15,Coritiba,38,11,13,14,41,42,-1,46,1.21
2016,16,Vitória,38,12,9,17,51,53,-2,45,1.18
2016,17,Internacional,38,11,10,17,35,41,-6,43,1.13
2016,18,Figueirense,38,8,13,17,30,50,-20,37,0.98
2016,19,Santa Cruz,38,8,7,23,45,69,-24,31,0.82
2016,20,América (MG),38,7,7,24,23,58,-35,28,0.74
2017,1,Corinthians,38,21,9,8,50,30,20,72,1.9
2017,2,Palmeiras,38,19,6,13,61,45,16,63,1.65
2017,3,Santos,38,17,12,9,42,32,10,63,1.66
2017,4,Grêmio,38,18,8,12,55,36,19,62,1.63
2017,5,Cruzeiro,38,15,12,11,47,39,8,57,1.5
2017,6,Flamengo,38,15,11,12,49,38,11,56,1.47
2017,7,Vasco da Gama,38,15,11,12,40,47,-7,56,1.48
2017,8,Chapecoense,38,15,9,14,47,49,-2,54,1.42
2017,9,Atlético Mineiro,38,14,12,12,52,49,3,54,1.42
2017,10,Botafogo (RJ),38,14,11,13,45,42,3,53,1.4
2017,11,Atl Paranaense,38,14,9,15,45,43,2,51,1.34
2017,12,Bahia,38,13,11,14,50,48,2,50,1.32
2017,13,São Paulo,38,13,11,14,48,49,-1,50,1.32
2017,14,Fluminense,38,11,14,13,50,53,-3,47,1.23
2017,15,Sport Recife,38,12,9,17,46,58,-12,45,1.18
2017,16,Vitória,38,11,10,17,50,58,-8,43,1.14
2017,17,Coritiba,38,11,10,17,42,51,-9,43,1.13
2017,18,Avaí,38,10,13,15,29,48,-19,43,1.13
2017,19,Ponte Preta,38,10,9,19,37,52,-15,39,1.02
2017,20,Atl Goianiense,38,9,9,20,38,56,-18,36,0.94
2018,1,Palmeiras,38,23,11,4,64,26,38,80,2.1
2018,2,Flamengo,38,21,9,8,59,29,30,72,1.9
2018,3,Internacional,38,19,12,7,51,29,22,69,1.82
2018,4,Grêmio,38,18,12,8,48,27,21,66,1.74
2018,5,São Paulo,38,16,15,7,46,34,12,63,1.66
2018,6,Atlético Mineiro,38,17,8,13,56,43,13,59,1.56
2018,7,Atl Paranaense,38,16,9,13,54,37,17,57,1.5
2018,8,Cruzeiro,38,14,11,13,34,34,0,53,1.4
2018,9,Botafogo (RJ),38,13,12,13,38,46,-8,51,1.34
2018,10,Santos,38,13,11,14,46,40,6,50,1.32
2018,11,Bahia,38,12,12,14,39,41,-2,48,1.26
2018,12,Fluminense,38,12,9,17,32,46,-14,45,1.18
2018,13,Corinthians,38,11,11,16,34,35,-1,44,1.16
2018,14,Chapecoense,38,11,11,16,34,50,-16,44,1.16
2018,15,Ceará,38,10,14,14,32,38,-6,44,1.16
2018,16,Vasco da Gama,38,10,13,15,41,48,-7,43,1.13
2018,17,Sport Recife,38,11,9,18,35,57,-22,42,1.1
2018,18,América (MG),38,10,10,18,30,47,-17,40,1.05
2018,19,Vitória,38,9,10,19,36,63,-27,37,0.98
2018,20,Paraná,38,4,11,23,18,57,-39,23,0.6
2019,1,Flamengo,38,28,6,4,86,37,49,90,2.37
2019,2,Santos,38,22,8,8,60,33,27,74,1.94
2019,3,Palmeiras,38,21,11,6,61,32,29,74,1.94
2019,4,Grêmio,38,19,8,11,64,39,25,65,1.71
2019,5,Atl Paranaense,38,18,10,10,51,32,19,64,1.68
2019,6,São Paulo,38,17,12,9,39,30,9,63,1.65
2019,7,Internacional,38,16,9,13,44,39,5,57,1.5
2019,8,Corinthians,38,14,14,10,42,34,8,56,1.48
2019,9,Fortaleza,38,15,8,15,50,49,1,53,1.4
2019,10,Goiás,38,15,7,16,46,64,-18,52,1.36
2019,11,Bahia,38,12,13,13,44,43,1,49,1.29
2019,12,Vasco da Gama,38,12,13,13,39,45,-6,49,1.29
2019,13,Atlético Mineiro,38,13,9,16,45,49,-4,48,1.26
2019,14,Fluminense,38,12,10,16,38,46,-8,46,1.22
2019,15,Botafogo (RJ),38,13,4,21,31,45,-14,43,1.14
2019,16,Ceará,38,10,9,19,36,41,-5,39,1.02
2019,17,Cruzeiro,38,7,15,16,27,46,-19,36,0.94
2019,18,CSA,38,8,8,22,24,58,-34,32,0.84
2019,19,Chapecoense,38,7,11,20,31,52,-21,32,0.84
2019,20,Avaí,38,3,11,24,18,62,-44,20,0.52
2020,1,Flamengo,38,21,8,9,68,48,20,71,1.87
2020,2,Internacional,38,20,10,8,61,35,26,70,1.85
2020,3,Atlético Mineiro,38,20,8,10,64,45,19,68,1.79
2020,4,São Paulo,38,18,12,8,59,41,18,66,1.74
2020,5,Fluminense,38,18,10,10,55,42,13,64,1.68
2020,6,Grêmio,38,14,17,7,53,40,13,59,1.55
2020,7,Palmeiras,38,15,13,10,51,37,14,58,1.52
2020,8,Santos,38,14,12,12,52,51,1,54,1.42
2020,9,Atl Paranaense,38,15,8,15,38,36,2,53,1.4
2020,10,Bragantino,38,13,14,11,50,40,10,53,1.4
2020,11,Ceará,38,14,10,14,54,51,3,52,1.37
2020,12,Corinthians,38,13,12,13,45,45,0,51,1.34
2020,13,Atl Goianiense,38,12,14,12,40,45,-5,50,1.32
2020,14,Bahia,38,12,8,18,48,59,-11,44,1.16
2020,15,Sport Recife,38,12,6,20,31,50,-19,42,1.1
2020,16,Fortaleza,38,10,11,17,34,44,-10,41,1.08
2020,17,Vasco da Gama,38,10,11,17,37,56,-19,41,1.08
2020,18,Goiás,38,9,10,19,41,63,-22,37,0.98
2020,19,Coritiba,38,7,10,21,31,54,-23,31,0.82
2020,20,Botafogo (RJ),38,5,12,21,32,62,-30,27,0.71
2021,1,Atlético Mineiro,38,26,6,6,67,34,33,84,2.21
2021,2,Flamengo,38,21,8,9,69,36,33,71,1.87
2021,3,Palmeiras,38,20,6,12,58,43,15,66,1.74
2021,4,Fortaleza,38,17,7,14,44,45,-1,58,1.53
2021,5,Corinthians,38,15,12,11,40,36,4,57,1.5
2021,6,Bragantino,38,14,14,10,55,46,9,56,1.48
2021,7,Fluminense,38,15,9,14,38,38,0,54,1.42
2021,8,América (MG),38,13,14,11,41,37,4,53,1.4
2021,9,Atl Goianiense,38,13,14,11,33,36,-3,53,1.4
2021,10,Santos,38,12,14,12,35,40,-5,50,1.32
2021,11,Ceará,38,11,17,10,39,38,1,50,1.32
2021,12,Internacional,38,12,12,14,44,42,2,48,1.27
2021,13,São Paulo,38,11,15,12,31,39,-8,48,1.27
2021,14,Atl Paranaense,38,13,8,17,41,45,-4,47,1.24
2021,15,Cuiabá,38,10,17,11,34,37,-3,47,1.23
2021,16,Juventude,38,11,13,14,36,44,-8,46,1.21
2021,17,Grêmio,38,12,7,19,44,51,-7,43,1.13
2021,18,Bahia,38,11,10,17,42,51,-9,43,1.14
2021,19,Sport Recife,38,9,11,18,24,37,-13,38,1.0
2021,20,Chapecoense,38,1,12,25,27,67,-40,15,0.4
2022,1,Palmeiras,38,23,12,3,66,27,39,81,2.13
2022,2,Internacional,38,20,13,5,58,31,27,73,1.92
2022,3,Fluminense,38,21,7,10,63,41,22,70,1.84
2022,4,Corinthians,38,18,11,9,44,36,8,65,1.72
2022,5,Flamengo,38,18,8,12,60,39,21,62,1.63
2022,6,Atl Paranaense,38,16,10,12,48,48,0,58,1.52
2022,7,Atlético Mineiro,38,15,13,10,45,37,8,58,1.53
